last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Cano, Robinson,429664,SEA,136,2B,36,L,0,0.53,0.83,1.11,1.36,1.6,1.83,2.04,2.25,2.46,2.66,2.86,3.05,3.25,3.44,3.63,3.83,4.03,4.23
Caratini, Victor,605170,CHC,112,C,25,L,0,0.51,0.82,1.09,1.34,1.58,1.8,2.01,2.22,2.42,2.61,2.8,2.99,3.18,3.37,3.56,3.75,3.95,4.16
Carpenter, Matt,572761,STL,138,3B,33,L,0,0.54,0.85,1.11,1.36,1.59,1.81,2.02,2.22,2.41,2.61,2.79,2.98,3.16,3.35,3.53,3.71,3.89,4.08
Castellanos, Nicholas,592206,DET,116,RF,26,R,0,0.55,0.85,1.12,1.36,1.59,1.81,2.01,2.21,2.4,2.58,2.76,2.94,3.12,3.29,3.47,3.64,3.82,3.99
Castillo, Welington,456078,CWS,145,C,31,R,0,0.54,0.87,1.15,1.42,1.67,1.9,2.13,2.35,2.56,2.77,2.98,3.18,3.39,3.59,3.8,4.01,4.22,4.44
Castro, Starlin,516770,MIA,146,2B,28,R,0,0.54,0.84,1.1,1.35,1.57,1.79,1.99,2.18,2.37,2.56,2.74,2.92,3.1,3.27,3.45,3.62,3.8,3.99
Cave, Jake,595909,MIN,142,CF,26,L,0,0.53,0.81,1.07,1.31,1.54,1.75,1.96,2.15,2.34,2.53,2.71,2.9,3.08,3.26,3.43,3.61,3.79,3.97
Cervelli, Francisco,465041,PIT,134,C,32,R,0,0.55,0.87,1.14,1.4,1.63,1.85,2.06,2.27,2.47,2.66,2.85,3.04,3.23,3.42,3.6,3.79,3.97,4.16
Chapman, Matt,656305,OAK,133,3B,25,R,0,0.54,0.83,1.09,1.33,1.56,1.77,1.97,2.16,2.35,2.53,2.71,2.89,3.06,3.24,3.41,3.58,3.75,3.93
Chirinos, Robinson,455139,TEX,140,C,34,R,0,0.54,0.85,1.13,1.39,1.63,1.85,2.07,2.28,2.48,2.68,2.87,3.07,3.26,3.45,3.64,3.83,4.03,4.24
Choi, Ji-Man,596847,TB,139,DH,27,L,0,0.56,0.87,1.14,1.4,1.63,1.86,2.07,2.27,2.47,2.66,2.85,3.04,3.23,3.41,3.6,3.79,3.99,4.19
Choo, Shin-Soo,425783,TEX,140,DH,36,L,0,0.53,0.83,1.1,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.78,2.97,3.15,3.34,3.52,3.7,3.9,4.11
Conforto, Michael,624424,NYM,121,LF,25,L,0,0.54,0.84,1.1,1.34,1.56,1.77,1.98,2.17,2.36,2.54,2.72,2.9,3.08,3.25,3.43,3.6,3.78,3.97
Contreras, Willson,575929,CHC,112,C,26,R,0,0.54,0.83,1.09,1.34,1.56,1.77,1.98,2.17,2.36,2.55,2.73,2.91,3.09,3.27,3.45,3.63,3.81,4
Cordero, Franchy,614173,SD,135,LF,24,L,0,0.53,0.81,1.07,1.3,1.51,1.72,1.91,2.1,2.28,2.45,2.63,2.8,2.97,3.13,3.3,3.46,3.63,3.82
Correa, Carlos,621043,HOU,117,SS,24,R,0,0.54,0.83,1.09,1.34,1.56,1.78,1.98,2.18,2.36,2.55,2.73,2.91,3.09,3.26,3.44,3.61,3.79,3.98
